file,DER,JER
wnfoi,0.7614,0.8114
jsymf,0.7314,0.8343
ledhe,0.211,0.3368
cwbvu,0.9917,0.999
bvyvm,0.0874,0.097
uicid,0.416,0.9247
optsn,0.8948,0.9678
mesob,0.6757,0.7557
nqyqm,0.1271,0.5392
cadba,0.9158,0.9727
kefgo,0.8834,0.7672
ztzzr,0.0967,0.6952
houcx,0.2163,0.5378
gzhwb,0.3216,0.8274
udjij,0.7525,0.8609
nqcpi,0.4864,0.8713
lfzib,0.53,0.5717
asxwr,0.5822,0.8335
afjiv,0.2912,0.4968
euqef,0.0328,0.0324
pxqme,0.0103,0.0102
imtug,0.0378,0.1069
lilfy,0.7961,0.6424
nctdh,0.6715,0.7824
jgiyq,0.1428,0.5821
kszpd,0.7849,0.898
pgtkk,0.8459,0.9811
neiye,0.0273,0.0266
mekog,0.718,0.8558
mevkw,0.5446,0.7065
utial,0.7098,0.8417
ndkwv,0.3017,0.6444
djngn,0.0107,0.0141
pzxit,0.4431,0.8009
iiprr,1.0171,0.8809
hkzpa,0.2996,0.631
qrzjk,0.019,0.0186
goyli,0.8025,0.7742
ikgcq,0.0657,0.4615
wewoz,0.7243,0.9343
oubab,0.3833,0.6858
ulriv,0.6961,0.8653
aggyz,0.8574,0.9712
mpvoh,0.6484,0.8146
atgpi,0.0064,0.0063
fxnwf,0.6767,0.886
kckqn,0.3044,0.4404
rxgun,0.9783,0.997
leneg,0.2197,0.515
qsfzo,0.3348,0.6663
xkgos,0.1719,0.5678
sebyw,0.4855,0.8314
vdlvr,0.653,0.7508
jhdav,0.8577,0.9704
kklpv,0.0867,0.2655
ljpes,0.5231,0.7052
ouvtt,0.7565,0.9401
heolf,0.8592,0.9116
jjkrt,0.2774,0.5978
tguxv,0.9844,0.9956
gqbvk,0.1161,0.3943
zajzs,0.0521,0.1436
irvat,0.4833,0.8077
zowse,0.9936,0.9544
azisu,0.9296,0.9701
nrogz,0.7763,0.8706
uvnmy,0.9836,0.9698
tpslg,0.358,0.578
mbzht,0.8641,0.9685
dlast,0.3884,0.4761
vylyk,1.0,1.0
kkghn,0.0305,0.6765
jsmbi,0.5227,0.7185
cvofp,0.1466,0.1964
gukoa,0.9411,0.9335
aorju,0.6864,0.7406
zrlyl,0.1764,0.7501
lscfc,0.8538,0.9084
wemos,0.9377,0.9311
jrfaz,0.355,0.4488
yfcmz,0.4142,0.8515
bmsyn,0.5068,0.8009
kgjaa,0.4213,0.6448
ktzmw,0.1884,0.4739
fvyvb,0.5574,0.6659
vmbga,0.7425,0.9096
jcako,0.2219,0.7461
ofbxh,0.175,0.4925
mqxsf,0.3392,0.8624
qwepo,0.5308,0.6551
fsaal,0.6887,0.8385
clfcg,0.5255,0.7482
yrsve,0.9974,0.9991
tlprc,0.8339,0.9433
aiqwk,0.2271,0.7861
cwryz,0.8607,0.8694
czlvt,0.8729,0.958
gofnj,0.0537,0.0909
uedkc,0.4474,0.7227
wjhgf,0.7761,0.945
xtzoq,0.9098,0.9728
ppgjx,0.1918,0.7016
kuduk,0.8089,0.9256
eazeq,0.3372,0.6444
lpola,0.2491,0.852
tfvyr,0.0183,0.018
gfneh,0.941,0.9776
kkwkn,0.4934,0.6853
qajyo,0.465,0.8397
uexjc,0.9025,0.9351
luobn,0.6482,0.8028
ioasm,0.3426,0.7869
gqdxy,0.3231,0.6332
hcyak,0.9378,0.9221
xkmqx,0.1571,0.6973
tucrg,2.444,0.9829
rpkso,0.8823,0.9701
xxwgv,0.6184,0.863
imbqf,0.6126,0.841
gzvkx,0.754,0.8268
zyffh,0.1735,0.5396
fzwtp,0.5202,0.7138
laoyl,0.1785,0.5433
ooxnm,0.3052,0.6787
zfkap,0.343,0.695
thnuq,0.131,0.4324
ifwki,0.8124,0.8935
bdopb,0.269,0.5569
lkikz,0.115,0.6444
fvhrk,0.0636,0.5457
nitgx,0.5169,0.9166
nkqzr,0.6878,0.8548
mdbod,0.7158,0.7041
gocbm,0.5914,0.8795
dvngl,0.9858,0.998
ryken,0.3119,0.6324
rtvuw,0.6607,0.8702
luvfz,0.8087,0.9543
ufpel,0.9634,0.9588
ypwjd,0.5035,0.5516
grzbb,0.0643,0.7657
bkwns,0.9552,0.9746
qygfk,0.6621,0.9027
onpra,0.2505,0.7852
pgkde,0.1837,0.3041
mxduo,0.2297,0.6774
fxgvy,0.5656,0.7798
gkiki,0.5385,0.7654
upshw,0.5016,0.7935
vbjlx,0.7806,0.9383
jxydp,0.0021,0.0021
jsdmu,0.1031,0.6994
whmpa,0.9357,0.9672
sikkm,0.0047,0.0047
qzwxa,0.0177,0.0349
mkrcv,0.8638,0.7852
gmmwm,0.1585,0.3116
yukhy,0.63,0.8086
xlsme,0.2387,0.474
tjkfn,0.2126,0.7678
qpylu,0.2062,0.3143
bvqnu,0.2861,0.8048
ydlfw,0.78,0.8018
otmpf,0.0372,0.6789
dhorc,0.8306,0.8655
bxpwa,0.2377,0.7552
kbkon,0.5201,0.8963
epygx,0.315,0.7401
gcvrb,0.8969,0.9711
cyyxp,0.0748,0.6903
kzmyi,0.2302,0.4454
vtzqw,0.3801,0.8989
vgevv,0.5921,0.9179
dgvwu,0.3296,0.6878
gpjne,0.1284,0.3462
auzru,0.74,0.9369
qeejz,0.6497,0.8938
nxgad,0.2556,0.3163
jeymh,0.3782,0.7916
eqsta,0.4535,0.8846
qadia,0.2271,0.5337
ywcwr,0.0759,0.1647
nprxc,0.3779,0.7977
qouur,0.0023,0.0023
guvqf,0.4264,0.8866
xmyyy,0.7195,0.7834
bidnq,0.735,0.9161
mgpok,0.1991,0.6738
kdfqk,0.8918,0.9244
rxulz,0.9591,0.9214
jxpom,0.4452,0.8645
aepyx,0.3686,0.5538
syiwe,0.273,0.5089
jdrwl,0.8343,0.9216
crylr,0.1324,0.4008
zfzlc,0.093,0.688
dzsef,0.8004,0.6298
jjvkx,0.6275,0.8343
nlvdr,0.2152,0.42
erslt,0.7963,0.9102
isrps,0.8119,0.8664
ikhje,0.8745,0.9398
tiams,0.239,0.754
sldwj,0.6934,0.8289
djqif,0.1201,0.1478
sbrmv,0.7091,0.8623
qjgpl,0.5708,0.8272
gwloo,0.0803,0.8147
pnyir,0.6886,0.8925
bxcfq,0.7316,0.8622
femmv,0.6781,0.736
jzkzt,0.8386,0.9593
wcxfk,0.5803,0.8013
olzkb,0.7722,0.9166
ytula,0.0861,0.2841
ldkmv,0.7355,0.9364
