File                    DER   MISS     FA   CONF    JER
iqtde                 0.058  0.094  0.594  5.594  0.110
kvkje                 0.192 89.493 53.018 22.470  0.462
fpfvy                 0.396  1.102  4.021 40.625  0.736
cjfer                 0.234  7.458  3.462 144.881  0.446
hqhrb                 0.215 66.231 25.806 139.068  0.640
pwnsw                 0.240 27.752 12.909 201.977  0.781
msbyq                 0.126  0.316  0.443  3.948  0.395
cmfyw                 0.232  2.491  0.838 126.042  0.444
bpzsc                 0.156 10.140 15.215 137.257  0.727
dohag                 0.221  0.219  0.548  8.000  0.609
mxdpo                 0.188  8.644  5.531  4.320  0.787
pkwrt                 0.199  0.889  0.420 34.691  0.489
jttar                 0.047  2.490 10.445 15.935  0.626
fyqoe                 0.438  0.351  0.087 155.873  0.724
crorm                 0.052 21.319 11.644 12.558  0.641
nfqjx                 0.113 12.704  3.197 66.282  0.374
hycgx                 0.080  1.179  0.335 18.111  0.432
esrit                 0.057  0.844  2.110  8.749  0.273
hhepf                 0.122  7.896 45.689 82.668  0.347
gcfwp                 0.448 11.502 50.420 53.093  0.513
ezsgk                 0.876  0.472  0.163 210.335  0.937
fijfi                 0.158  9.301 34.452 87.156  0.400
jwggf                 0.508 71.300 29.510 452.303  0.808
suuxu                 0.388 18.934 20.343 63.750  0.553
bgvvt                 0.209 57.775 65.057 87.043  0.873
vysqj                 0.005  0.441  0.000  0.000  0.005
hiyis                 0.032  0.009  0.557  2.209  0.056
fowhl                 0.177  8.285 38.199 99.509  0.652
xffsa                 0.111  6.383 11.855 95.010  0.736
ggvel                 0.320  8.157  2.447 30.428  0.713
ldnro                 0.186  6.255  5.097 188.545  0.371
jynhe                 0.121  5.720  0.350 71.011  0.389
wwvcs                 0.162 41.486 47.541 69.985  0.618
sfdvy                 0.028  3.802  1.358  3.754  0.513
vncid                 0.501 29.809 17.967 503.772  0.633
ktvto                 0.240  3.234 27.426 160.975  0.647
cpebh                 0.008  0.112  2.793  2.078  0.504
tcwsn                 0.124  0.344  2.172 43.792  0.607
lhuly                 0.877 21.861 16.879 948.003  0.545
swbnm                 0.071 14.452 40.815 21.719  0.354
pnook                 0.880 11.977  3.584 270.650  0.731
zcdsd                 0.085  9.483  1.488 39.269  0.254
lbfnx                 0.119 16.409 32.579 84.065  0.131
poucc                 0.342 13.260 13.846 295.363  0.717
cmhsm                 0.022  1.792  2.297  8.699  0.755
mjgil                 0.059  1.672  3.154  7.067  0.520
sqkup                 0.652  2.618  4.561 73.355  0.857
xvllq                 0.125  2.080  2.435 25.487  0.423
odkzj                 0.109  1.150  2.702 62.364  0.251
gylzn                 0.052  0.514  6.882 10.708  0.403
xiglo                 0.187  3.431  0.887 14.745  0.496
paibn                 0.029  0.188  1.012  8.710  0.048
tplwz                 0.284  9.320  0.996 62.120  0.397
wbqza                 0.077  6.001  2.470 40.525  0.650
spzmn                 0.014  0.519  0.009  1.640  0.058
sosnj                 0.095  2.777  5.674 22.460  0.393
mvjuk                 0.200  2.338  0.565 77.630  0.432
vzuru                 0.105 15.981  8.944 98.462  0.306
dxbbt                 0.116  0.714 16.352 59.560  0.505
ylnza                 0.585  1.959  1.422 309.092  0.468
epdpg                 0.216 18.229  9.382 77.944  0.672
ngyrk                 0.152  1.025  0.635 21.111  0.594
qlrry                 0.363 30.043 30.088 52.867  0.847
gyomp                 0.339  1.494  2.017 15.751  0.610
wlfsf                 0.112  4.030  5.532 46.054  0.318
cqfmj                 0.091  2.840  1.810  5.201  0.511
zztbo                 0.235 12.411  0.422  0.000  0.233
kiadt                 0.099 11.269  8.091 51.325  0.675
kmjvh                 0.306  1.659 60.898 49.637  0.553
ehpau                 0.226 10.637  1.308 24.864  0.294
zehzu                 0.153  0.977  2.459 21.159  0.253
akthc                 0.114  2.071  1.672  8.218  0.566
oekmc                 0.205  9.383  0.752 19.309  0.529
ptses                 0.628 17.824 59.225 305.206  0.863
eapdk                 0.040  3.217  1.690 16.461  0.067
gtjow                 0.084 38.437 11.121 47.027  0.293
iqbww                 0.071  2.807  1.491  9.428  0.345
tpnyf                 0.079  9.150 48.407 26.350  0.147
kajfh                 0.234 21.422 55.817 104.732  0.419
cqaec                 0.728  3.730  1.617 154.061  0.856
bauzd                 0.203 14.264  5.021 79.031  0.793
ppexo                 0.190 11.855  8.196  1.584  0.719
svxzm                 0.014  2.658 10.256  0.000  0.014
qppll                 0.043  1.343  1.523  0.000  0.042
xvxwv                 0.080  3.706  1.459 16.809  0.347
mupzb                 0.234 22.926 44.948 22.331  0.776
abjxc                 0.002  0.074  0.033  0.000  0.002
vgaez                 0.450  7.319 10.150 44.205  0.716
hgdez                 0.129 18.091  7.747 90.984  0.348
blwmj                 0.149  0.343  1.515 36.381  0.672
xqxkt                 0.084 18.439 20.906 54.599  0.425
